,College,Funding Status,Field Of Study,Degree,5 Year Earnings,5 Year Earnings for Males,5 Year Earnings for Non-Males
0,Alabama A & M University,Public,"Business Administration, Management and Operations.",Bachelor's Degree,54650,66114,51917
1,University of Alabama at Birmingham,Public,Communication and Media Studies.,Bachelor's Degree,39661,42162,38277
2,University of Alabama at Birmingham,Public,Educational Administration and Supervision.,Master's Degree,68212,72838,67340
3,University of Alabama at Birmingham,Public,"Teacher Education and Professional Development, Specific Subject Areas.",Bachelor's Degree,47189,50319,45207
4,University of Alabama at Birmingham,Public,"Engineering, General.",Master's Degree,128054,127338,130010
5,University of Alabama at Birmingham,Public,"Biology, General.",Bachelor's Degree,55561,55221,55718
6,University of Alabama at Birmingham,Public,"Psychology, General.",Bachelor's Degree,44287,41462,44242
7,University of Alabama at Birmingham,Public,Criminal Justice and Corrections.,Bachelor's Degree,48974,61843,42946
8,University of Alabama at Birmingham,Public,Fine and Studio Arts.,Bachelor's Degree,41015,35695,42328
9,University of Alabama at Birmingham,Public,Dentistry.,First Professional Degree,171066,189225,166462
10,University of Alabama at Birmingham,Public,Advanced/Graduate Dentistry and Oral Sciences.,Graduate/Professional Certificate,245003,250971,180164
11,University of Alabama at Birmingham,Public,Health and Medical Administrative Services.,Bachelor's Degree,58386,83008,55635
12,University of Alabama at Birmingham,Public,Health and Medical Administrative Services.,Master's Degree,132670,193903,124047
13,University of Alabama at Birmingham,Public,"Allied Health Diagnostic, Intervention, and Treatment Professions.",Master's Degree,121212,134866,115150
14,University of Alabama at Birmingham,Public,Optometry.,First Professional Degree,120051,139548,116341
15,University of Alabama at Birmingham,Public,Public Health.,Master's Degree,83804,106290,79363
16,University of Alabama at Birmingham,Public,Rehabilitation and Therapeutic Professions.,Doctoral Degree,78076,92323,72760
17,University of Alabama at Birmingham,Public,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Bachelor's Degree,84228,98509,80427
18,University of Alabama at Birmingham,Public,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Master's Degree,116130,151028,113443
19,University of Alabama at Birmingham,Public,"Business Administration, Management and Operations.",Bachelor's Degree,62800,66116,58271
20,University of Alabama at Birmingham,Public,"Business Administration, Management and Operations.",Master's Degree,105063,96285,107291
21,University of Alabama at Birmingham,Public,Accounting and Related Services.,Bachelor's Degree,63551,66647,56622
22,University of Alabama at Birmingham,Public,Accounting and Related Services.,Master's Degree,94452,98894,87277
23,University of Alabama at Birmingham,Public,Marketing.,Bachelor's Degree,62426,78460,52163
24,University of Alabama in Huntsville,Public,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Bachelor's Degree,70913,90160,68544
25,Alabama State University,Public,Communication and Media Studies.,Bachelor's Degree,37881,36520,39563
26,Alabama State University,Public,Criminal Justice and Corrections.,Bachelor's Degree,40621,47201,38122
27,The University of Alabama,Public,Communication and Media Studies.,Bachelor's Degree,52949,53881,49922
28,The University of Alabama,Public,Journalism.,Bachelor's Degree,56575,55743,56657
29,The University of Alabama,Public,"Radio, Television, and Digital Communication.",Bachelor's Degree,47815,37875,55448
30,The University of Alabama,Public,"Public Relations, Advertising, and Applied Communication.",Bachelor's Degree,64089,68432,62852
31,The University of Alabama,Public,Educational Administration and Supervision.,Doctoral Degree,99694,113024,90142
32,The University of Alabama,Public,"Teacher Education and Professional Development, Specific Levels and Methods.",Bachelor's Degree,48985,46993,49088
33,The University of Alabama,Public,"Teacher Education and Professional Development, Specific Subject Areas.",Bachelor's Degree,53220,58107,52703
34,The University of Alabama,Public,Chemical Engineering.,Bachelor's Degree,97080,96486,96004
35,The University of Alabama,Public,Civil Engineering.,Bachelor's Degree,86784,91067,81806
36,The University of Alabama,Public,Mechanical Engineering.,Bachelor's Degree,91807,93057,80899
37,The University of Alabama,Public,"Family and Consumer Sciences/Human Sciences, General.",Bachelor's Degree,48766,45695,48899
38,The University of Alabama,Public,"Family and Consumer Sciences/Human Sciences, General.",Master's Degree,61399,76826,59635
39,The University of Alabama,Public,Law.,First Professional Degree,100203,108468,95080
40,The University of Alabama,Public,"English Language and Literature, General.",Bachelor's Degree,44593,39498,47246
41,The University of Alabama,Public,Library Science and Administration.,Master's Degree,52284,60082,51502
42,The University of Alabama,Public,"Multi-/Interdisciplinary Studies, General.",Bachelor's Degree,52664,58952,47593
43,The University of Alabama,Public,"Psychology, General.",Bachelor's Degree,47796,43808,48584
44,The University of Alabama,Public,Criminal Justice and Corrections.,Bachelor's Degree,55350,60114,49271
45,The University of Alabama,Public,Social Work.,Master's Degree,53526,53384,53490
46,The University of Alabama,Public,Political Science and Government.,Bachelor's Degree,61049,59113,71023
47,The University of Alabama,Public,Fine and Studio Arts.,Bachelor's Degree,45258,61203,39726
48,The University of Alabama,Public,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Bachelor's Degree,80311,112167,75414
49,The University of Alabama,Public,"Business Administration, Management and Operations.",Bachelor's Degree,69113,72045,62457
50,The University of Alabama,Public,"Business Administration, Management and Operations.",Master's Degree,114582,124952,94047
51,The University of Alabama,Public,Accounting and Related Services.,Bachelor's Degree,79435,81938,77830
52,The University of Alabama,Public,Accounting and Related Services.,Master's Degree,92319,107755,89308
53,The University of Alabama,Public,Finance and Financial Management Services.,Bachelor's Degree,84758,85325,80547
54,The University of Alabama,Public,Hospitality Administration/Management.,Bachelor's Degree,52250,51720,52436
55,The University of Alabama,Public,Management Information Systems and Services.,Bachelor's Degree,110434,113046,104974
56,The University of Alabama,Public,Management Sciences and Quantitative Methods.,Bachelor's Degree,79720,82989,67348
57,The University of Alabama,Public,Marketing.,Bachelor's Degree,80393,89448,69844
58,The University of Alabama,Public,Marketing.,Master's Degree,61440,62442,62037
59,The University of Alabama,Public,History.,Bachelor's Degree,56524,56759,48737
60,Central Alabama Community College,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,42233,43964,35388
61,Athens State University,Public,"Business Administration, Management and Operations.",Bachelor's Degree,61403,65559,59365
62,Athens State University,Public,Accounting and Related Services.,Bachelor's Degree,61742,68966,61470
63,Athens State University,Public,"Business, Management, Marketing, and Related Support Services, Other.",Bachelor's Degree,70242,86657,43902
64,Auburn University at Montgomery,Public,"Business/Commerce, General.",Master's Degree,93777,108376,69148
65,Auburn University,Public,Animal Sciences.,Bachelor's Degree,66404,73590,56613
66,Auburn University,Public,Veterinary Medicine.,First Professional Degree,120989,125378,119748
67,Auburn University,Public,Architecture.,Bachelor's Degree,75187,73041,76625
68,Auburn University,Public,Communication and Media Studies.,Bachelor's Degree,62643,54393,69185
69,Auburn University,Public,"Teacher Education and Professional Development, Specific Subject Areas.",Bachelor's Degree,52004,55322,50210
70,Auburn University,Public,"Teacher Education and Professional Development, Specific Subject Areas.",Master's Degree,63575,70386,59520
71,Auburn University,Public,Mechanical Engineering.,Bachelor's Degree,91940,93094,91440
72,Auburn University,Public,Industrial Engineering.,Bachelor's Degree,96383,92987,99507
73,Auburn University,Public,"Biology, General.",Bachelor's Degree,78788,70073,81770
74,Auburn University,Public,"Multi-/Interdisciplinary Studies, General.",Bachelor's Degree,49480,58726,41497
75,Auburn University,Public,"Psychology, General.",Bachelor's Degree,48338,55567,45640
76,Auburn University,Public,Political Science and Government.,Bachelor's Degree,63805,61185,69918
77,Auburn University,Public,Design and Applied Arts.,Bachelor's Degree,58793,60133,57867
78,Auburn University,Public,"Pharmacy, Pharmaceutical Sciences, and Administration.",First Professional Degree,139069,145962,135837
79,Auburn University,Public,"Business Administration, Management and Operations.",Bachelor's Degree,76513,80470,62993
80,Auburn University,Public,"Business Administration, Management and Operations.",Master's Degree,145621,148533,132745
81,Auburn University,Public,Accounting and Related Services.,Bachelor's Degree,79838,78617,81587
82,Auburn University,Public,Accounting and Related Services.,Master's Degree,96671,99252,93997
83,Auburn University,Public,Finance and Financial Management Services.,Bachelor's Degree,83481,89462,66881
84,Auburn University,Public,Marketing.,Bachelor's Degree,67766,73949,64081
85,Chattahoochee Valley Community College,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,35374,51927,31819
86,South University-Montgomery,"Private, for-profit",Information Science/Studies.,Bachelor's Degree,67229,67229,66836
87,South University-Montgomery,"Private, for-profit","Psychology, General.",Bachelor's Degree,38844,42895,38259
88,South University-Montgomery,"Private, for-profit",Criminal Justice and Corrections.,Bachelor's Degree,47301,55113,42741
89,South University-Montgomery,"Private, for-profit",Health and Medical Administrative Services.,Bachelor's Degree,45275,61540,44756
90,South University-Montgomery,"Private, for-profit",Health and Medical Administrative Services.,Master's Degree,63788,90752,60375
91,South University-Montgomery,"Private, for-profit",Allied Health and Medical Assisting Services.,Associate's Degree,47529,55412,44655
92,South University-Montgomery,"Private, for-profit","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Bachelor's Degree,90784,104878,89683
93,South University-Montgomery,"Private, for-profit","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Master's Degree,118330,127669,116806
94,South University-Montgomery,"Private, for-profit","Business Administration, Management and Operations.",Bachelor's Degree,54466,66635,48494
95,South University-Montgomery,"Private, for-profit","Business Administration, Management and Operations.",Master's Degree,60102,72864,58077
96,Enterprise State Community College,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Undergraduate Certificate or Diploma,35460,48735,29785
97,Coastal Alabama Community College,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,39646,46134,34819
98,Faulkner University,"Private, nonprofit",Law.,First Professional Degree,68209,70785,66531
99,Gadsden State Community College,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,37390,40446,36919
100,Gadsden State Community College,Public,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Associate's Degree,68352,68663,68346
101,George C Wallace Community College-Dothan,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,38279,39975,37678
102,George C Wallace State Community College-Hanceville,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,40103,41021,36880
103,George C Wallace State Community College-Hanceville,Public,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Associate's Degree,66490,77266,65051
104,Herzing University-Birmingham,"Private, nonprofit",Criminal Justice and Corrections.,Associate's Degree,59370,78125,30345
105,Herzing University-Birmingham,"Private, nonprofit",Criminal Justice and Corrections.,Bachelor's Degree,63953,75854,52130
106,Herzing University-Birmingham,"Private, nonprofit",Allied Health and Medical Assisting Services.,Associate's Degree,38011,58604,35657
107,Herzing University-Birmingham,"Private, nonprofit","Allied Health Diagnostic, Intervention, and Treatment Professions.",Associate's Degree,47173,68284,39957
108,Herzing University-Birmingham,"Private, nonprofit","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Associate's Degree,76115,86752,74341
109,Herzing University-Birmingham,"Private, nonprofit","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Master's Degree,125885,137257,124646
110,Herzing University-Birmingham,"Private, nonprofit","Business Administration, Management and Operations.",Associate's Degree,39668,47319,37742
111,Herzing University-Birmingham,"Private, nonprofit","Business Administration, Management and Operations.",Bachelor's Degree,65935,76795,60191
112,Herzing University-Birmingham,"Private, nonprofit","Business Administration, Management and Operations.",Master's Degree,54354,68055,53604
113,Huntingdon College,"Private, nonprofit","Business Administration, Management and Operations.",Bachelor's Degree,57454,71147,49298
114,Jacksonville State University,Public,Communication and Media Studies.,Bachelor's Degree,39144,42079,35521
115,Jacksonville State University,Public,Educational Administration and Supervision.,Master's Degree,80148,79396,81184
116,Jacksonville State University,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Bachelor's Degree,43553,42455,45823
117,Jacksonville State University,Public,"Biology, General.",Bachelor's Degree,42418,52813,37680
118,Jacksonville State University,Public,Criminal Justice and Corrections.,Bachelor's Degree,48116,50272,40839
119,Jacksonville State University,Public,"Health Services/Allied Health/Health Sciences, General.",Bachelor's Degree,48322,51638,42384
120,Jacksonville State University,Public,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Bachelor's Degree,76445,99523,73346
121,Jacksonville State University,Public,"Business Administration, Management and Operations.",Bachelor's Degree,49340,55969,46639
122,Jacksonville State University,Public,Accounting and Related Services.,Bachelor's Degree,63298,69868,61423
123,Jefferson State Community College,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,40346,51039,37272
124,Jefferson State Community College,Public,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Associate's Degree,69606,81917,68888
125,John C Calhoun State Community College,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,41635,44429,40297
126,Lawson State Community College,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,37298,37556,37389
127,University of West Alabama,Public,Educational Administration and Supervision.,Master's Degree,76111,86020,66041
128,University of West Alabama,Public,"Teacher Education and Professional Development, Specific Levels and Methods.",Master's Degree,56658,63747,56531
129,Marion Military Institute,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,45315,46445,44281
130,Miles College,"Private, nonprofit",Criminal Justice and Corrections.,Bachelor's Degree,41808,55581,31429
131,University of Montevallo,Public,"Teacher Education and Professional Development, Specific Levels and Methods.",Master's Degree,54752,57338,54738
132,University of North Alabama,Public,Communication and Media Studies.,Bachelor's Degree,42034,43342,37696
133,University of North Alabama,Public,"Teacher Education and Professional Development, Specific Levels and Methods.",Bachelor's Degree,48459,53391,47209
134,University of North Alabama,Public,"Parks, Recreation, Leisure, and Fitness Studies, Other.",Bachelor's Degree,47311,54460,39233
135,University of North Alabama,Public,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Bachelor's Degree,78078,93598,72827
136,University of North Alabama,Public,"Business Administration, Management and Operations.",Bachelor's Degree,46213,48876,45212
137,University of North Alabama,Public,"Business Administration, Management and Operations.",Master's Degree,92469,105706,84311
138,University of North Alabama,Public,Accounting and Related Services.,Bachelor's Degree,61438,70009,54203
139,Northeast Alabama Community College,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,38656,47428,36389
140,Bishop State Community College,Public,"Multi/Interdisciplinary Studies, Other.",Associate's Degree,25139,51135,16254
141,Samford University,"Private, nonprofit",Law.,Doctoral Degree,82757,90322,78951
142,Samford University,"Private, nonprofit","Pharmacy, Pharmaceutical Sciences, and Administration.",Bachelor's Degree,139665,148661,136941
143,Samford University,"Private, nonprofit","Pharmacy, Pharmaceutical Sciences, and Administration.",Doctoral Degree,140893,145766,138688
144,Samford University,"Private, nonprofit","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Master's Degree,116262,140722,112106
145,Shelton State Community College,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,39342,39828,37589
146,Snead State Community College,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,39859,45703,36776
147,University of South Alabama,Public,Communication and Media Studies.,Bachelor's Degree,46121,46907,46116
148,University of South Alabama,Public,"Teacher Education and Professional Development, Specific Levels and Methods.",Bachelor's Degree,47395,50295,47263
149,University of South Alabama,Public,"Teacher Education and Professional Development, Specific Subject Areas.",Bachelor's Degree,46909,46658,46824
150,University of South Alabama,Public,"Biology, General.",Bachelor's Degree,59484,57451,63104
151,University of South Alabama,Public,"Multi-/Interdisciplinary Studies, General.",Bachelor's Degree,44628,49786,41738
152,University of South Alabama,Public,Criminal Justice and Corrections.,Bachelor's Degree,48094,52327,38582
153,University of South Alabama,Public,Fine and Studio Arts.,Bachelor's Degree,39891,41520,39125
154,University of South Alabama,Public,Health/Medical Preparatory Programs.,Bachelor's Degree,50197,58008,45768
155,University of South Alabama,Public,Medicine.,Doctoral Degree,161185,125556,219357
156,University of South Alabama,Public,Rehabilitation and Therapeutic Professions.,Doctoral Degree,86610,98005,85353
157,University of South Alabama,Public,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Bachelor's Degree,70878,81959,69142
158,University of South Alabama,Public,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Master's Degree,120778,143423,118881
159,University of South Alabama,Public,"Business Administration, Management and Operations.",Bachelor's Degree,54316,57940,53280
160,University of South Alabama,Public,Accounting and Related Services.,Bachelor's Degree,54805,65483,51727
161,University of South Alabama,Public,Finance and Financial Management Services.,Bachelor's Degree,65107,81067,63604
162,University of South Alabama,Public,Marketing.,Bachelor's Degree,46298,45709,49902
163,University of South Alabama,Public,History.,Bachelor's Degree,43909,47005,41339
164,Talladega College,"Private, nonprofit","Business Administration, Management and Operations.",Bachelor's Degree,35880,40175,29786
165,Troy University,Public,"Computer and Information Sciences, General.",Bachelor's Degree,66404,77977,46522
166,Troy University,Public,"Teacher Education and Professional Development, Specific Levels and Methods.",Bachelor's Degree,46496,47732,45978
167,Troy University,Public,"Teacher Education and Professional Development, Specific Levels and Methods.",Master's Degree,55213,60106,54401
168,Troy University,Public,"Teacher Education and Professional Development, Specific Subject Areas.",Bachelor's Degree,51520,52876,45391
169,Troy University,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,42779,54657,40992
170,Troy University,Public,"Biology, General.",Bachelor's Degree,59950,59749,59669
171,Troy University,Public,Health and Physical Education/Fitness.,Bachelor's Degree,47577,48531,40776
172,Troy University,Public,"Psychology, General.",Bachelor's Degree,41575,47771,41462
173,Troy University,Public,"Clinical, Counseling and Applied Psychology.",Master's Degree,50867,50315,50930
174,Troy University,Public,Criminal Justice and Corrections.,Bachelor's Degree,46268,56802,40744
175,Troy University,Public,Public Administration.,Master's Degree,64810,85827,60976
176,Troy University,Public,"Social Sciences, General.",Bachelor's Degree,52917,50986,52988
177,Troy University,Public,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Master's Degree,114048,122202,109907
178,Troy University,Public,"Business/Commerce, General.",Bachelor's Degree,58123,66460,53749
179,Troy University,Public,"Business Administration, Management and Operations.",Bachelor's Degree,60066,69471,54430
180,Troy University,Public,"Business Administration, Management and Operations.",Master's Degree,80618,90924,78808
181,Tuskegee University,"Private, nonprofit",Veterinary Medicine.,First Professional Degree,117988,145283,104900
182,Bevill State Community College,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,39108,44266,31664
183,University of Alaska Anchorage,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,39803,51364,36473
184,University of Alaska Anchorage,Public,"Business Administration, Management and Operations.",Bachelor's Degree,63091,73091,59543
185,University of Alaska Anchorage,Public,Accounting and Related Services.,Bachelor's Degree,79196,80974,70072
186,University of Alaska Southeast,Public,"Teacher Education and Professional Development, Specific Levels and Methods.",Master's Degree,63556,62363,63833
187,University of Alaska Southeast,Public,"Business Administration, Management and Operations.",Bachelor's Degree,72398,84334,70038
188,Charter College,"Private, for-profit",Criminal Justice and Corrections.,Associate's Degree,40550,42591,39538
189,Charter College,"Private, for-profit",Dental Support Services and Allied Professions.,Undergraduate Certificate or Diploma,33058,43060,32781
190,Charter College,"Private, for-profit",Allied Health and Medical Assisting Services.,Undergraduate Certificate or Diploma,38070,44607,37552
191,Alaska Career College,"Private, for-profit",Somatic Bodywork and Related Therapeutic Services.,Undergraduate Certificate or Diploma,33184,31570,33310
192,Empire Beauty School-Tucson,"Private, for-profit",Cosmetology and Related Personal Grooming Services.,Undergraduate Certificate or Diploma,21931,21215,21943
193,Carrington College-Phoenix North,"Private, for-profit",Veterinary/Animal Health Technologies/Technicians.,Undergraduate Certificate or Diploma,32522,35108,32150
194,Carrington College-Phoenix North,"Private, for-profit",Dental Support Services and Allied Professions.,Undergraduate Certificate or Diploma,31832,34357,31156
195,Carrington College-Phoenix North,"Private, for-profit",Health and Medical Administrative Services.,Undergraduate Certificate or Diploma,36496,34836,36771
196,Carrington College-Phoenix North,"Private, for-profit",Allied Health and Medical Assisting Services.,Undergraduate Certificate or Diploma,32835,34675,32484
197,Carrington College-Phoenix North,"Private, for-profit",Allied Health and Medical Assisting Services.,Associate's Degree,62764,66112,60970
198,Carrington College-Phoenix North,"Private, for-profit","Allied Health Diagnostic, Intervention, and Treatment Professions.",Associate's Degree,73543,83763,65206
199,Carrington College-Phoenix North,"Private, for-profit",Health Aides/Attendants/Orderlies.,Undergraduate Certificate or Diploma,30608,36199,29918
200,Carrington College-Phoenix North,"Private, for-profit","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Associate's Degree,84782,94000,80852
201,Carrington College-Mesa,"Private, for-profit",Veterinary/Animal Health Technologies/Technicians.,Undergraduate Certificate or Diploma,32522,35108,32150
202,Carrington College-Mesa,"Private, for-profit",Dental Support Services and Allied Professions.,Undergraduate Certificate or Diploma,31832,34357,31156
203,Carrington College-Mesa,"Private, for-profit",Health and Medical Administrative Services.,Undergraduate Certificate or Diploma,36496,34836,36771
204,Carrington College-Mesa,"Private, for-profit",Allied Health and Medical Assisting Services.,Undergraduate Certificate or Diploma,32835,34675,32484
205,Carrington College-Mesa,"Private, for-profit",Allied Health and Medical Assisting Services.,Associate's Degree,62764,66112,60970
206,Carrington College-Mesa,"Private, for-profit",Health Aides/Attendants/Orderlies.,Undergraduate Certificate or Diploma,30608,36199,29918
207,Carrington College-Mesa,"Private, for-profit","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Associate's Degree,84782,94000,80852
208,Carrington College-Tucson,"Private, for-profit",Veterinary/Animal Health Technologies/Technicians.,Undergraduate Certificate or Diploma,32522,35108,32150
209,Carrington College-Tucson,"Private, for-profit",Dental Support Services and Allied Professions.,Undergraduate Certificate or Diploma,31832,34357,31156
210,Carrington College-Tucson,"Private, for-profit",Health and Medical Administrative Services.,Undergraduate Certificate or Diploma,36496,34836,36771
211,Carrington College-Tucson,"Private, for-profit",Allied Health and Medical Assisting Services.,Undergraduate Certificate or Diploma,32835,34675,32484
212,Carrington College-Tucson,"Private, for-profit",Health Aides/Attendants/Orderlies.,Undergraduate Certificate or Diploma,30608,36199,29918
213,Carrington College-Tucson,"Private, for-profit","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Associate's Degree,84782,94000,80852
214,CollegeAmerica-Flagstaff,"Private, nonprofit",Allied Health and Medical Assisting Services.,Associate's Degree,33755,40405,33341
215,CollegeAmerica-Flagstaff,"Private, nonprofit","Business Administration, Management and Operations.",Associate's Degree,32254,36184,29230
216,Miller-Motte College-Arizona Automotive Institute,"Private, for-profit",Vehicle Maintenance and Repair Technologies.,Undergraduate Certificate or Diploma,39477,39858,27770
217,Miller-Motte College-Arizona Automotive Institute,"Private, for-profit",Precision Metal Working.,Undergraduate Certificate or Diploma,40658,41301,32313
218,Brookline College-Phoenix,"Private, for-profit",Criminal Justice and Corrections.,Associate's Degree,35658,41132,33665
219,Brookline College-Phoenix,"Private, for-profit",Criminal Justice and Corrections.,Bachelor's Degree,39701,43405,36980
220,Brookline College-Phoenix,"Private, for-profit",Allied Health and Medical Assisting Services.,Undergraduate Certificate or Diploma,30692,38149,29690
221,Brookline College-Phoenix,"Private, for-profit","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Bachelor's Degree,88614,98350,86813
222,Brookline College-Phoenix,"Private, for-profit","Practical Nursing, Vocational Nursing and Nursing Assistants.",Undergraduate Certificate or Diploma,33343,40108,31974
223,Brookline College-Phoenix,"Private, for-profit","Business Administration, Management and Operations.",Associate's Degree,36495,44938,33289
224,Arizona State University Campus Immersion,Public,Natural Resources Conservation and Research.,Bachelor's Degree,60661,61304,57600
225,Arizona State University Campus Immersion,Public,Natural Resources Conservation and Research.,Master's Degree,75879,94721,67985
226,Arizona State University Campus Immersion,Public,Architecture.,Bachelor's Degree,66030,65976,65773
227,Arizona State University Campus Immersion,Public,Architecture.,Master's Degree,78094,78040,80053
228,Arizona State University Campus Immersion,Public,"City/Urban, Community and Regional Planning.",Bachelor's Degree,61411,62660,55045
229,Arizona State University Campus Immersion,Public,Landscape Architecture.,Bachelor's Degree,60959,62898,61353
230,Arizona State University Campus Immersion,Public,Communication and Media Studies.,Bachelor's Degree,62225,62477,61732
231,Arizona State University Campus Immersion,Public,Journalism.,Bachelor's Degree,62711,58052,64058
232,Arizona State University Campus Immersion,Public,Journalism.,Master's Degree,69108,71283,63029
233,Arizona State University Campus Immersion,Public,Graphic Communications.,Bachelor's Degree,54254,65894,48886
234,Arizona State University Campus Immersion,Public,"Computer and Information Sciences, General.",Bachelor's Degree,97416,100821,94896
235,Arizona State University Campus Immersion,Public,Computer Science.,Bachelor's Degree,109476,109934,114727
236,Arizona State University Campus Immersion,Public,Curriculum and Instruction.,Master's Degree,65150,67416,64238
237,Arizona State University Campus Immersion,Public,Educational Administration and Supervision.,Master's Degree,66596,67926,66422
238,Arizona State University Campus Immersion,Public,Special Education and Teaching.,Master's Degree,56460,62313,55004
239,Arizona State University Campus Immersion,Public,"Teacher Education and Professional Development, Specific Levels and Methods.",Bachelor's Degree,51853,53650,51524
240,Arizona State University Campus Immersion,Public,"Teacher Education and Professional Development, Specific Levels and Methods.",Master's Degree,61195,66586,59168
241,Arizona State University Campus Immersion,Public,"Education, Other.",Bachelor's Degree,44015,47885,42928
242,Arizona State University Campus Immersion,Public,Biomedical/Medical Engineering.,Bachelor's Degree,88459,89408,83990
243,Arizona State University Campus Immersion,Public,Biomedical/Medical Engineering.,Master's Degree,96096,95649,105027
244,Arizona State University Campus Immersion,Public,Chemical Engineering.,Bachelor's Degree,101977,101262,102169
245,Arizona State University Campus Immersion,Public,Civil Engineering.,Bachelor's Degree,87208,86517,90567
246,Arizona State University Campus Immersion,Public,Civil Engineering.,Master's Degree,97892,100056,96811
247,Arizona State University Campus Immersion,Public,"Electrical, Electronics and Communications Engineering.",Bachelor's Degree,102932,101525,115134
248,Arizona State University Campus Immersion,Public,Mechanical Engineering.,Bachelor's Degree,94295,96021,85763
249,Arizona State University Campus Immersion,Public,"Engineering Technologies/Technicians, Other.",Master's Degree,77064,71971,97202
250,Arizona State University Campus Immersion,Public,Family and Consumer Economics and Related Studies.,Bachelor's Degree,49656,54318,48968
251,Arizona State University Campus Immersion,Public,"Foods, Nutrition, and Related Services.",Bachelor's Degree,52150,58105,51362
252,Arizona State University Campus Immersion,Public,Non-Professional General Legal Studies (Undergraduate).,Bachelor's Degree,61817,64554,60095
253,Arizona State University Campus Immersion,Public,Law.,Doctoral Degree,106558,111035,98021
254,Arizona State University Campus Immersion,Public,Legal Research and Advanced Professional Studies.,Master's Degree,81196,91985,68875
255,Arizona State University Campus Immersion,Public,"English Language and Literature, General.",Bachelor's Degree,50363,49428,51289
256,Arizona State University Campus Immersion,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Bachelor's Degree,62843,77337,58721
257,Arizona State University Campus Immersion,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Master's Degree,63909,61646,67281
258,Arizona State University Campus Immersion,Public,"Biology, General.",Bachelor's Degree,58703,62578,55192
259,Arizona State University Campus Immersion,Public,"Biochemistry, Biophysics and Molecular Biology.",Bachelor's Degree,66602,69491,63079
260,Arizona State University Campus Immersion,Public,Mathematics.,Bachelor's Degree,84496,87805,70598
261,Arizona State University Campus Immersion,Public,International/Global Studies.,Bachelor's Degree,51348,47656,52096
262,Arizona State University Campus Immersion,Public,"Multi/Interdisciplinary Studies, Other.",Bachelor's Degree,63362,66281,61462
263,Arizona State University Campus Immersion,Public,Health and Physical Education/Fitness.,Bachelor's Degree,53897,54279,53868
264,Arizona State University Campus Immersion,Public,Chemistry.,Bachelor's Degree,55428,42949,58322
265,Arizona State University Campus Immersion,Public,"Science Technologies/Technicians, Other.",Bachelor's Degree,73181,80812,71816
266,Arizona State University Campus Immersion,Public,"Psychology, General.",Bachelor's Degree,52287,51822,52381
267,Arizona State University Campus Immersion,Public,"Clinical, Counseling and Applied Psychology.",Doctoral Degree,75447,107511,73261
