,College,Funding Status,Field Of Study,Degree,5 Year Earnings,5 Year Earnings for Males,5 Year Earnings for Non-Males
4588,University of Louisiana at Monroe,Public,"Pharmacy, Pharmaceutical Sciences, and Administration.",First Professional Degree,137992,148670,135864
4589,University of Louisiana at Monroe,Public,"Business Administration, Management and Operations.",Bachelor's Degree,50920,73291,45592
4590,Northwestern State University of Louisiana,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,45068,56325,42315
4591,Northwestern State University of Louisiana,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Bachelor's Degree,47139,52344,46595
4592,Northwestern State University of Louisiana,Public,"Biology, General.",Bachelor's Degree,47666,51909,45686
4593,Northwestern State University of Louisiana,Public,"Psychology, General.",Bachelor's Degree,46485,46416,46451
4594,Northwestern State University of Louisiana,Public,Criminal Justice and Corrections.,Bachelor's Degree,47007,54998,43137
4595,Northwestern State University of Louisiana,Public,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Bachelor's Degree,82918,106833,80116
4596,Northwestern State University of Louisiana,Public,"Business Administration, Management and Operations.",Bachelor's Degree,49944,55915,42627
4597,Franciscan Missionaries of Our Lady University,"Private, nonprofit",Allied Health and Medical Assisting Services.,Associate's Degree,57905,61110,56098
4598,Franciscan Missionaries of Our Lady University,"Private, nonprofit","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Bachelor's Degree,77812,107274,75704
4599,Aveda Arts & Sciences Institute-Covington,"Private, for-profit",Cosmetology and Related Personal Grooming Services.,Undergraduate Certificate or Diploma,25748,32025,25481
4600,Remington College-Lafayette Campus,"Private, nonprofit",Cosmetology and Related Personal Grooming Services.,Undergraduate Certificate or Diploma,19687,21162,19357
4601,Remington College-Lafayette Campus,"Private, nonprofit",Criminal Justice and Corrections.,Associate's Degree,30721,40383,28190
4602,Remington College-Lafayette Campus,"Private, nonprofit",Health and Medical Administrative Services.,Undergraduate Certificate or Diploma,30741,37657,30499
4603,Remington College-Lafayette Campus,"Private, nonprofit",Allied Health and Medical Assisting Services.,Undergraduate Certificate or Diploma,29811,32783,29108
4604,Remington College-Lafayette Campus,"Private, nonprofit",Allied Health and Medical Assisting Services.,Associate's Degree,37958,45254,37546
4605,Remington College-Lafayette Campus,"Private, nonprofit","Business Administration, Management and Operations.",Associate's Degree,31576,35669,30623
4606,SOWELA Technical Community College,Public,Industrial Production Technologies/Technicians.,Associate's Degree,130442,133989,74427
4607,Southeastern Louisiana University,Public,Communication and Media Studies.,Bachelor's Degree,44689,44265,44711
4608,Southeastern Louisiana University,Public,"Teacher Education and Professional Development, Specific Subject Areas.",Bachelor's Degree,45766,49111,44657
4609,Southeastern Louisiana University,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Bachelor's Degree,44723,47296,42783
4610,Southeastern Louisiana University,Public,"Biology, General.",Bachelor's Degree,47728,60544,44382
4611,Southeastern Louisiana University,Public,Criminal Justice and Corrections.,Bachelor's Degree,49202,51764,45256
4612,Southeastern Louisiana University,Public,Fine and Studio Arts.,Bachelor's Degree,35458,37487,34877
4613,Southeastern Louisiana University,Public,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Bachelor's Degree,79720,85668,77216
4614,Southeastern Louisiana University,Public,"Business Administration, Management and Operations.",Bachelor's Degree,50366,58791,43182
4615,Southeastern Louisiana University,Public,"Business Administration, Management and Operations.",Master's Degree,75873,96229,67569
4616,Southeastern Louisiana University,Public,Accounting and Related Services.,Bachelor's Degree,59218,60778,56555
4617,Southern University and A & M College,Public,Law.,First Professional Degree,74244,77218,71532
4618,Southern University and A & M College,Public,Criminal Justice and Corrections.,Bachelor's Degree,40654,49881,40168
4619,Southern University and A & M College,Public,Rehabilitation and Therapeutic Professions.,Bachelor's Degree,42345,45185,40989
4620,Southern University and A & M College,Public,"Business Administration, Management and Operations.",Bachelor's Degree,51573,64096,46096
4621,Southern University and A & M College,Public,"Business Administration, Management and Operations.",Master's Degree,69272,79981,62256
4622,University of Louisiana at Lafayette,Public,Communication and Media Studies.,Bachelor's Degree,45071,46686,42725
4623,University of Louisiana at Lafayette,Public,"Teacher Education and Professional Development, Specific Subject Areas.",Bachelor's Degree,48548,53136,47762
4624,University of Louisiana at Lafayette,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Bachelor's Degree,41481,46344,38996
4625,University of Louisiana at Lafayette,Public,Criminal Justice and Corrections.,Bachelor's Degree,40154,39970,42672
4626,University of Louisiana at Lafayette,Public,Political Science and Government.,Bachelor's Degree,50048,56124,42362
4627,University of Louisiana at Lafayette,Public,Fine and Studio Arts.,Bachelor's Degree,31342,29720,32223
4628,University of Louisiana at Lafayette,Public,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Bachelor's Degree,87367,111277,85745
4629,University of Louisiana at Lafayette,Public,"Business Administration, Management and Operations.",Bachelor's Degree,49147,55936,43867
